,SPY
9/3/2013,0.004511700357380793
9/4/2013,0.008238364879481456
9/5/2013,0.0012664790375413102
9/6/2013,0.0004821517458045581
9/9/2013,0.009553715963044477
9/10/2013,0.007346125499749576
9/11/2013,0.0031340582197208005
9/12/2013,-0.0026602128472147206
9/13/2013,0.002246802323600559
9/16/2013,0.005770817343378378
9/17/2013,0.004452803777883425
9/18/2013,0.011512881493625329
9/19/2013,-0.0016826793689486326
9/20/2013,-0.007016277591944061
9/23/2013,-0.004638464667925778
9/24/2013,-0.002356375283109802
9/25/2013,-0.002894848691703739
9/26/2013,0.003838351853890888
9/27/2013,-0.004613408735589179
9/30/2013,-0.005336606809414847
10/1/2013,0.007884765411805572
10/2/2013,-0.0009447358980619738
10/3/2013,-0.009263875403207816
10/4/2013,0.0075481383683885074
