ticker,mean_log_return,standard_deviation
JCI,0.08197688839071487,0.254024844327485
JKHY,0.12688036285866283,0.2169226197187855
JNJ,0.06899015355816653,0.17490801326012817
JNPR,0.05419824696449375,0.2790045981296529
JPM,0.13600931738787034,0.2597738697019903
K,0.03483558225466217,0.2082100533921313
KDP,-0.02781978750463746,0.5436048673690412
KEY,0.05683335205116769,0.37531319521961326
KEYS,0.16758320695552764,0.3039981319025114
KHC,-0.02640657669919016,0.28041965008743275
KIM,0.016833290919086752,0.34786966773026123
KLAC,0.22019048569876887,0.37304061422142637
KMB,0.041115830600664365,0.19536669951802857
KMI,-0.03490339539992536,0.3000435122155051
KMX,0.0550384978827338,0.36561409282151514
KO,0.04631733385793031,0.1754779975609559
KR,0.1231999145238518,0.2727527236217489
L,0.05468405830144773,0.24156665438420816
LDOS,0.11708949761921376,0.3050111251740444
LEN,0.12390870531515909,0.35490038559666426
LH,0.0934522707165978,0.25412297117240057
LHX,0.1349342468194951,0.24478384376768972
LIN,0.11857259123993528,0.21651219063436386
LKQ,0.04279258969232151,0.3237222692728976
LLY,0.23735066568205976,0.26108443392903574
LMT,0.14938374554020362,0.2154690468049482
LNT,0.07945981974425932,0.204480584756475
LOW,0.16743599306681817,0.27841628860222956
LRCX,0.2504594488354651,0.39275521393902635
LULU,0.12415041398201128,0.3915997133415896
LUV,0.09075152986736118,0.34136712910922545
LVS,0.005019079226598112,0.3716886893286231
LW,0.10247912943639481,0.3481943546154865
LYB,0.03218081098328693,0.33695139087320986
LYV,0.21083414106776932,0.3636721943493794
MA,0.19441677435241808,0.25937127154844297
MAA,0.07011461165318256,0.23230919676429146
MAR,0.1611234248168145,0.3061668202537492
MAS,0.140953097550996,0.2863469093321797
MCD,0.1003723741811586,0.19389178394500678
MCHP,0.1259677136420548,0.35343976187384235
MCK,0.14254367720035147,0.27405255572981363
MCO,0.18411236236496117,0.269558671239115
MDLZ,0.07980764559209906,0.20811066456539795
MDT,0.0647788678979236,0.22177220613662013
MET,0.07764106594148745,0.29407607887644166
META,0.25449013395600073,0.3833423978959616
MGM,0.09200970905440038,0.435876244942602
MHK,0.03091854664104587,0.3818827509175616
MKC,0.07456848105382166,0.2184418750628131
MKTX,0.17518927227994618,0.3193120676142945
MLM,0.15130671919306854,0.3082993646546729
MMC,0.15390968337573566,0.19223363719165976
MMM,0.04004560563308222,0.24431172593082956
MNST,0.14850364800167193,0.2864991565532928
MO,0.04264320778623382,0.21845027089693678
MOH,0.21145284370353587,0.3667552163817635
MOS,-0.06430731876875168,0.42201048575852745
MPC,0.12670728910229717,0.39681307551370587
MPWR,0.296445870347115,0.4105195930981573
MRK,0.0803247073323547,0.21070289450644278
MRNA,0.18283518089258877,0.7204273667347937
MRO,-0.012600080509109721,0.5080417280023148
MS,0.15094128396294362,0.30229495757346686
MSCI,0.24444568345966913,0.28864024936075106
MSFT,0.22827351427816572,0.26460554039043976
MSI,0.17670775646223064,0.23780664529168777
MTB,0.05442481862988285,0.3031578056376998
MTCH,-0.25048857529635515,0.47226334436917033
MTD,0.16193665439333166,0.2676985936475033
MU,0.22931760859833283,0.4506601785887116
NCLH,0.0003077951801877657,0.5634295231413827
NDAQ,0.1825638573982179,0.23530180764592687
NDSN,0.11324642177106424,0.27539062937625536
NEE,0.12508966845033284,0.23158835068346986
NEM,-0.003010975791273626,0.3665735864177369
NFLX,0.3427830581983359,0.45762525275825994
NI,0.10539290987706045,0.22717170799889475
NKE,0.09325970068735677,0.2854680983979363
NOC,0.16972633907150772,0.23227130750611885
NOW,0.29113732114314606,0.4005647853458884
NRG,0.11263846996879721,0.3668934255154121
NSC,0.11623751782518536,0.27022659669948806
NTAP,0.1031437551869925,0.32327403293574386
NTRS,0.05556746006439878,0.2844539900373611
NUE,0.09854912611192239,0.32834368275304726
NVDA,0.5121155383294375,0.4514911310227577
NVR,0.1932951290517516,0.2965943235521293
NWSA,0.04820031151126636,0.29169527941405893
NXPI,0.18175739159752863,0.3889501448254591
O,0.033107743545125225,0.25572341586972763
ODFL,0.23951784479130148,0.29334406323936124
OKE,0.07467675551554907,0.4146224794631803
OMC,0.05710878948235393,0.2520780695602236
ON,0.19161147082719457,0.4593391187118666
ORCL,0.13445622131060864,0.2641366309757819
ORLY,0.21538711687372472,0.2572358259918912
OTIS,0.1704576012184224,0.2593787117616405
OXY,-0.0350010357200613,0.471258094602852
PANW,0.2584878491551861,0.39533361880761186
PARA,-0.10786759612757459,0.43589011201771666
PAYC,0.24424705485922404,0.4747116815517555
PAYX,0.12469591257046593,0.22963721365916923
PCAR,0.10178745781418802,0.24835032860726194
PCG,-0.06023418694912655,0.5561294787645362
PEG,0.08778451866924712,0.21289188567735057
PEP,0.07364906326163059,0.17923657509834817
PFE,0.011410564833666198,0.22223507491516264
PFG,0.08785042219500973,0.30694716770366015
PG,0.07332519760848795,0.17927058543747826
PGR,0.2123572826510691,0.22424903701926388
PH,0.1675099193735815,0.2945619367107017
PHM,0.16341790025560526,0.356037755928779
PKG,0.15010657746359282,0.2721277263970083
PLD,0.09394706172814221,0.25253233946030906
