ticker,tuned_ae
HPE,0.2192843580553004
HPQ,0.24820218563689922
HRL,0.1477606833062092
HSIC,0.1783526780940848
HST,0.257237465484184
HSY,0.08726039126641998
HUBB,0.09995667908672802
HUM,0.039733523723660596
HWM,0.2666055400140294
IBM,0.0839209334601954
ICE,0.1690374804319016
IDXX,0.05869839190709063
IEX,0.20923814338976604
IFF,0.21027634149653968
INCY,0.26485785763589925
INTC,0.2686507940433036
INTU,0.12417574339491964
INVH,0.2714396845568427
IP,0.40367065721356765
IPG,0.18053121836959338
IQV,0.18208050581217036
IR,0.1271179534073259
IRM,0.1565119329898013
ISRG,0.18242459765973848
IT,0.16156875073663848
ITW,0.040282925627943555
IVZ,0.37452287088093
J,0.14342472385188942
JBHT,0.24534048965233654
JCI,0.16988531992628603
JKHY,0.5007781261294109
