contamination,n_estimators,max_samples,max_features,bootstrap,scaler,Mean_Jaccard,Std_Jaccard
0.03,250,auto,0.5,False,standard,0.19405770684727705,0.06492145403555996
0.03,250,auto,0.5,False,minmax,0.19405770684727705,0.06492145403555996
0.03,250,auto,0.5,False,robust,0.19405770684727705,0.06492145403555996
0.03,250,auto,0.5,True,standard,0.18105116582267683,0.045460182890113415
0.03,250,auto,0.5,True,minmax,0.18105116582267683,0.045460182890113415
0.03,250,auto,0.5,True,robust,0.18105116582267683,0.045460182890113415
0.03,250,auto,0.75,False,standard,0.18747875947885603,0.05479602500372849
0.03,250,auto,0.75,False,minmax,0.18747875947885603,0.05479602500372849
0.03,250,auto,0.75,False,robust,0.18747875947885603,0.05479602500372849
0.03,250,auto,0.75,True,standard,0.1818279062670272,0.05461199622889629
0.03,250,auto,0.75,True,minmax,0.1818279062670272,0.05461199622889629
0.03,250,auto,0.75,True,robust,0.1818279062670272,0.05461199622889629
0.03,250,auto,1.0,False,standard,0.18152637852647507,0.050765947492734484
0.03,250,auto,1.0,False,minmax,0.18152637852647507,0.050765947492734484
0.03,250,auto,1.0,False,robust,0.18152637852647507,0.050765947492734484
0.03,250,auto,1.0,True,standard,0.17030792218606752,0.04873110352791783
0.03,250,auto,1.0,True,minmax,0.17030792218606752,0.04873110352791783
0.03,250,auto,1.0,True,robust,0.17030792218606752,0.04873110352791783
0.03,250,0.75,0.5,False,standard,0.18538087784325458,0.06214654786060049
0.03,250,0.75,0.5,False,minmax,0.18538087784325458,0.06214654786060049
0.03,250,0.75,0.5,False,robust,0.18538087784325458,0.06214654786060049
0.03,250,0.75,0.5,True,standard,0.18093545151240778,0.04415480651460529
0.03,250,0.75,0.5,True,minmax,0.18093545151240778,0.04415480651460529
0.03,250,0.75,0.5,True,robust,0.18093545151240778,0.04415480651460529
0.03,250,0.75,0.75,False,standard,0.19359761698739023,0.059959810045574824
0.03,250,0.75,0.75,False,minmax,0.19359761698739023,0.059959810045574824
0.03,250,0.75,0.75,False,robust,0.19359761698739023,0.059959810045574824
0.03,250,0.75,0.75,True,standard,0.18152637852647507,0.050765947492734484
0.03,250,0.75,0.75,True,minmax,0.18152637852647507,0.050765947492734484
0.03,250,0.75,0.75,True,robust,0.18152637852647507,0.050765947492734484
0.03,250,0.75,1.0,False,standard,0.18165222167557402,0.052143433740971724
0.03,250,0.75,1.0,False,minmax,0.18165222167557402,0.052143433740971724
0.03,250,0.75,1.0,False,robust,0.18165222167557402,0.052143433740971724
0.03,250,0.75,1.0,True,standard,0.187478759478856,0.05479602500372849
0.03,250,0.75,1.0,True,minmax,0.187478759478856,0.05479602500372849
0.03,250,0.75,1.0,True,robust,0.187478759478856,0.05479602500372849
0.03,250,1.0,0.5,False,standard,0.19568304324401883,0.05310300787484988
0.03,250,1.0,0.5,False,minmax,0.19568304324401883,0.05310300787484988
0.03,250,1.0,0.5,False,robust,0.19568304324401883,0.05310300787484988
0.03,250,1.0,0.5,True,standard,0.19624032311846845,0.057926925509280636
0.03,250,1.0,0.5,True,minmax,0.19624032311846845,0.057926925509280636
0.03,250,1.0,0.5,True,robust,0.19624032311846845,0.057926925509280636
0.03,250,1.0,0.75,False,standard,0.1842451263337105,0.05071807437278115
0.03,250,1.0,0.75,False,minmax,0.1842451263337105,0.05071807437278115
0.03,250,1.0,0.75,False,robust,0.1842451263337105,0.05071807437278115
0.03,250,1.0,0.75,True,standard,0.1648790691962389,0.048775225816758014
0.03,250,1.0,0.75,True,minmax,0.1648790691962389,0.048775225816758014
0.03,250,1.0,0.75,True,robust,0.1648790691962389,0.048775225816758014
0.03,250,1.0,1.0,False,standard,0.18444010782988104,0.052248330985348396
0.03,250,1.0,1.0,False,minmax,0.18444010782988104,0.052248330985348396
0.03,250,1.0,1.0,False,robust,0.18444010782988104,0.052248330985348396
0.03,250,1.0,1.0,True,standard,0.18970618321790766,0.047824911345097434
0.03,250,1.0,1.0,True,minmax,0.18970618321790766,0.047824911345097434
0.03,250,1.0,1.0,True,robust,0.18970618321790766,0.047824911345097434
0.03,300,auto,0.5,False,standard,0.1998607337156232,0.06551779387537993
0.03,300,auto,0.5,False,minmax,0.1998607337156232,0.06551779387537993
0.03,300,auto,0.5,False,robust,0.1998607337156232,0.06551779387537993
0.03,300,auto,0.5,True,standard,0.1840999463104817,0.04883443725389878
0.03,300,auto,0.5,True,minmax,0.1840999463104817,0.04883443725389878
0.03,300,auto,0.5,True,robust,0.1840999463104817,0.04883443725389878
0.03,300,auto,0.75,False,standard,0.18970618321790766,0.04782491134509744
0.03,300,auto,0.75,False,minmax,0.18970618321790766,0.04782491134509744
0.03,300,auto,0.75,False,robust,0.18970618321790766,0.04782491134509744
0.03,300,auto,0.75,True,standard,0.18475084360573313,0.05616905945092176
0.03,300,auto,0.75,True,minmax,0.18475084360573313,0.05616905945092176
0.03,300,auto,0.75,True,robust,0.18475084360573313,0.05616905945092176
0.03,300,auto,1.0,False,standard,0.18979143292936482,0.04978776046400235
0.03,300,auto,1.0,False,minmax,0.18979143292936482,0.04978776046400235
0.03,300,auto,1.0,False,robust,0.18979143292936482,0.04978776046400235
0.03,300,auto,1.0,True,standard,0.18429492780665224,0.05042245431762341
0.03,300,auto,1.0,True,minmax,0.18429492780665224,0.05042245431762341
0.03,300,auto,1.0,True,robust,0.18429492780665224,0.05042245431762341
0.03,300,0.75,0.5,False,standard,0.18778028721940815,0.05834640903706235
0.03,300,0.75,0.5,False,minmax,0.18778028721940815,0.05834640903706235
0.03,300,0.75,0.5,False,robust,0.18778028721940815,0.05834640903706235
0.03,300,0.75,0.5,True,standard,0.17801251417370184,0.041890924158142655
0.03,300,0.75,0.5,True,minmax,0.17801251417370184,0.041890924158142655
0.03,300,0.75,0.5,True,robust,0.17801251417370184,0.041890924158142655
0.03,300,0.75,0.75,False,standard,0.19944545132359665,0.06158406964144765
0.03,300,0.75,0.75,False,minmax,0.19944545132359665,0.06158406964144765
0.03,300,0.75,0.75,False,robust,0.19944545132359665,0.06158406964144765
0.03,300,0.75,0.75,True,standard,0.18442997899105115,0.05200993022516159
0.03,300,0.75,0.75,True,minmax,0.18442997899105115,0.05200993022516159
0.03,300,0.75,0.75,True,robust,0.18442997899105115,0.05200993022516159
0.03,300,0.75,1.0,False,standard,0.16725914169826264,0.04441225854953261
0.03,300,0.75,1.0,False,minmax,0.16725914169826264,0.04441225854953261
0.03,300,0.75,1.0,False,robust,0.16725914169826264,0.04441225854953261
0.03,300,0.75,1.0,True,standard,0.18472033903750876,0.05549631197922011
0.03,300,0.75,1.0,True,minmax,0.18472033903750876,0.05549631197922011
0.03,300,0.75,1.0,True,robust,0.18472033903750876,0.05549631197922011
0.03,300,1.0,0.5,False,standard,0.2017816357090413,0.05722493815254044
0.03,300,1.0,0.5,False,minmax,0.2017816357090413,0.05722493815254044
0.03,300,1.0,0.5,False,robust,0.2017816357090413,0.05722493815254044
0.03,300,1.0,0.5,True,standard,0.20481607332779778,0.05722841030351737
0.03,300,1.0,0.5,True,minmax,0.20481607332779778,0.05722841030351737
0.03,300,1.0,0.5,True,robust,0.20481607332779778,0.05722841030351737
0.03,300,1.0,0.75,False,standard,0.18162175707676212,0.05286858581084226
0.03,300,1.0,0.75,False,minmax,0.18162175707676212,0.05286858581084226
0.03,300,1.0,0.75,False,robust,0.18162175707676212,0.05286858581084226
0.03,300,1.0,0.75,True,standard,0.18220625420635075,0.058397301252225885
0.03,300,1.0,0.75,True,minmax,0.18220625420635075,0.058397301252225885
