ticker,tuned_pca
UPS,5.721762780234078e-32
URI,1.4567033761183457e-32
USB,1.652798061365046e-32
V,3.053474384555763e-32
VICI,3.1935420168748346e-32
VLO,2.5002072368954297e-32
VMC,6.807286930706884e-32
VRSK,5.8828405574010116e-33
VRSN,2.2971091700327757e-32
VRTX,2.2130685906413328e-32
VTR,3.697785493223493e-32
VTRS,3.6137449138320496e-32
VZ,5.658732345690497e-32
WAB,2.2690956435689614e-32
WAT,4.8463400782398806e-32
WBA,1.48471690258216e-32
WBD,4.2580560224997797e-32
WDC,2.044987431858447e-32
WEC,2.801352646381434e-32
WELL,1.7928656936841178e-32
WFC,2.2760990251849152e-32
WM,7.283516880591728e-32
WMB,5.777789833161708e-32
WMT,7.056344689424234e-32
WRB,4.033947810789265e-32
WST,5.714759398618126e-32
WTW,2.745325593453805e-32
WY,5.042434763486581e-32
WYNN,8.684193203782446e-33
XEL,1.7928656936841178e-32
XOM,5.525668094987379e-32
XYL,2.1290280112498898e-32
YUM,2.2690956435689614e-32
ZBH,1.9329333260031894e-32
ZBRA,1.092702616629158e-31
ZTS,2.801352646381434e-32
