ticker,baseline_ae
HPE,0.0944746520504231
HPQ,0.1379974221628727
HRL,0.12012563770698304
HSIC,0.02187144792539166
HST,0.1409922469697125
HSY,0.0344702086162219
HUBB,0.07331923722442749
HUM,0.020614116261823256
HWM,0.23495332525797294
IBM,0.07174450023137346
ICE,0.16220711666379373
IDXX,0.0317381987195128
IEX,0.16335470899001392
IFF,0.14402199646839312
INCY,0.27671523857937763
INTC,0.010733343166083747
INTU,0.04965132668693901
INVH,0.18790878307461326
IP,0.32942074088835793
IPG,0.12476615680483584
IQV,0.15309053130140285
IR,0.11079207213645642
IRM,0.050836379552317346
ISRG,0.05041567550048094
IT,0.11604071425208745
ITW,0.024732198636598327
IVZ,0.11447092610092911
J,0.02467168640757594
JBHT,0.022534593747163486
JCI,0.21215497209743378
JKHY,0.45584059677010363
