ticker,baseline_pca,tuned_pca,baseline_if,tuned_if,baseline_ae,tuned_ae,diff_pca,diff_if,diff_ae
CINF,0.09473496094252899,5.686745872154311e-32,0.45892668275299797,0.4923369997986549,0.22534569309882163,0.14361880269743138,-0.09473496094252899,0.033410317045656945,-0.08172689040139025
CL,0.011819138799108248,5.154488869341838e-32,0.5135392115576682,0.5397152508233349,0.04897804544485147,0.12173107816951219,-0.011819138799108248,0.026176039265666695,0.07275303272466072
CLX,0.07300425754057173,2.241082117105147e-32,0.41215114121197494,0.4413545951730914,0.09676338496639349,0.09094301049749962,-0.07300425754057173,0.029203453961116455,-0.005820374468893871
CMCSA,0.12390428542606302,6.58317871899637e-32,0.4849683480255016,0.5197583100699983,0.5018567847827563,0.9727594752669467,-0.12390428542606302,0.03478996204449669,0.4709026904841904
CME,0.21173927645925775,2.87138646254097e-32,0.44713208046416175,0.4782361634569476,0.13396247982195778,0.3340354475306428,-0.21173927645925775,0.03110408299278583,0.20007296770868502
CMG,0.03439369589443093,5.49065118690761e-32,0.47626887895232733,0.5124003532325112,0.040408888496202465,0.2919033314714501,-0.03439369589443093,0.03613147428018387,0.25149444297524765
CMI,0.13037601667411083,3.053474384555763e-32,0.4250792407521588,0.45437121687359844,0.1890401441195902,0.3165972848704001,-0.13037601667411083,0.029291976121439633,0.12755714075080993
CMS,0.2105076199212915,7.40257436806294e-32,0.47205823508921735,0.49692272072843885,0.28783907177122897,0.3900836734574638,-0.2105076199212915,0.0248644856392215,0.10224460168623484
CNC,0.078179590307503,2.829366172845248e-32,0.4336162494198946,0.4657238959962704,0.09255161910322528,0.09559450942190653,-0.078179590307503,0.032107646576375826,0.0030428903186812545
CNP,0.1065041721948854,7.537389464170046e-32,0.5416893836300304,0.5684033124939347,0.0757934476912828,0.2376772121689525,-0.1065041721948854,0.026713928863904335,0.1618837644776697
COF,0.0855743522264323,7.843787409868015e-33,0.42104603403348256,0.4435185235462277,0.0972283798642979,0.11094252939795082,-0.0855743522264323,0.022472489512745164,0.013714149533652922
COO,0.05274689691284447,1.7998690753000713e-32,0.4316680721797067,0.4626293352777825,0.036852318556642,0.1147306032552703,-0.05274689691284447,0.030961263098075786,0.07787828469862831
COP,0.013300697090111757,1.6808115878288603e-32,0.43880231052021174,0.4700699467441335,0.006795983116950089,0.21050157251841675,-0.013300697090111757,0.03126763622392176,0.20370558940146666
COR,0.20456013017136254,4.202028969572151e-32,0.4749536564633493,0.5115571915564443,0.3700636174146413,0.4904959867665459,-0.20456013017136254,0.036603535093095,0.1204323693519046
COST,0.5337645123414675,3.4736772815129783e-32,0.5174242743725936,0.5395743895902958,0.36293606608305207,1.205462356541303,-0.5337645123414675,0.02215011521770216,0.8425262904582509
CPB,0.009490500130661897,2.1290280112498898e-32,0.4796736308473777,0.5040905879648911,0.011208638033851763,0.026016064439324492,-0.009490500130661897,0.02441695711751346,0.014807426405472729
CPRT,0.16279977317983574,2.5212173817432905e-32,0.47557353891452847,0.5105568406196164,0.1668627644262553,0.32489022916811244,-0.16279977317983574,0.0349833017050879,0.15802746474185714
CPT,0.06136052724558383,3.697785493223493e-32,0.41897969091044945,0.4537807967008476,0.10849018249639159,0.11703924942887954,-0.06136052724558383,0.034801105790398135,0.008549066932487956
CRL,0.17102030968844206,7.003381615953586e-33,0.4416040884274605,0.4719868097036827,0.15530084319516874,0.16641019825600922,-0.17102030968844206,0.030382721276222158,0.011109355060840487
