,SPY
2013-09-03,0.004511700357380793
2013-09-04,0.008238364879481456
2013-09-05,0.0012664790375413102
2013-09-06,0.0004821517458045581
2013-09-09,0.009553715963044477
2013-09-10,0.007346125499749576
2013-09-11,0.0031340582197208005
2013-09-12,-0.0026602128472147206
2013-09-13,0.002246802323600559
2013-09-16,0.005770817343378378
2013-09-17,0.004452803777883425
2013-09-18,0.011512881493625329
2013-09-19,-0.0016826793689486326
2013-09-20,-0.007016277591944061
2013-09-23,-0.004638464667925778
2013-09-24,-0.002356375283109802
2013-09-25,-0.002894848691703739
2013-09-26,0.003838351853890888
2013-09-27,-0.004613408735589179
2013-09-30,-0.005336606809414847
2013-10-01,0.007884765411805572
2013-10-02,-0.0009447358980619738
2013-10-03,-0.009263875403207816
2013-10-04,0.0075481383683885074
