ticker,name,days_since_ipo,morningstar_sector,morningstar_industry,fossil_fuels,weapons,tobacco
KDP,Keurig Dr Pepper Inc,6052,Consumer Defensive,Beverages - Non-Alcoholic,FALSE,FALSE,FALSE
KEY,KeyCorp,11769,Financial Services,Banks - Regional,FALSE,FALSE,FALSE
KEYS,Keysight Technologies Inc,3686,Technology,Scientific & Technical Instruments,FALSE,FALSE,FALSE
KHC,The Kraft Heinz Co,3427,Consumer Defensive,Packaged Foods,FALSE,FALSE,FALSE
KIM,Kimco Realty Corp,12054,Real Estate,REIT - Retail,FALSE,FALSE,FALSE
KKR,KKR & Co Inc,5244,Financial Services,Asset Management,TRUE,FALSE,FALSE
KLAC,KLA Corp,16116,Technology,Semiconductor Equipment & Materials,FALSE,FALSE,FALSE
KMB,Kimberly-Clark Corp,28582,Consumer Defensive,Household & Personal Products,FALSE,FALSE,FALSE
KMI,Kinder Morgan Inc,5033,Energy,Oil & Gas Midstream,TRUE,FALSE,FALSE
KMX,CarMax Inc,10153,Consumer Cyclical,Auto & Truck Dealerships,FALSE,FALSE,FALSE
KO,Coca-Cola Co,36582,Consumer Defensive,Beverages - Non-Alcoholic,FALSE,FALSE,FALSE
KR,The Kroger Co,26978,Consumer Defensive,Grocery Stores,FALSE,FALSE,TRUE
KVUE,Kenvue Inc,568,Consumer Defensive,Household & Personal Products,FALSE,FALSE,FALSE
L,Loews Corp,10833,Financial Services,Insurance - Property & Casualty,FALSE,FALSE,TRUE
LDOS,Leidos Holdings Inc,6615,Technology,Information Technology Services,FALSE,FALSE,FALSE
LEN,Lennar Corp,19111,Consumer Cyclical,Residential Construction,FALSE,FALSE,FALSE
LH,Labcorp Holdings Inc,12266,Healthcare,Diagnostics & Research,FALSE,FALSE,FALSE
LHX,L3Harris Technologies Inc,25335,Industrials,Aerospace & Defense,FALSE,TRUE,FALSE
LIN,Linde PLC,11862,Basic Materials,Specialty Chemicals,FALSE,FALSE,FALSE
LKQ,LKQ Corp,7721,Consumer Cyclical,Auto Parts,FALSE,FALSE,FALSE
LLY,Eli Lilly and Co,19860,Healthcare,Drug Manufacturers - General,FALSE,FALSE,FALSE
LMT,Lockheed Martin Corp,10844,Industrials,Aerospace & Defense,FALSE,TRUE,FALSE
LNT,Alliant Energy Corp,19138,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
LOW,Lowe's Companies Inc,16410,Consumer Cyclical,Home Improvement Retail,FALSE,FALSE,FALSE
LRCX,Lam Research Corp,14812,Technology,Semiconductor Equipment & Materials,FALSE,FALSE,FALSE
LULU,Lululemon Athletica Inc,6328,Consumer Cyclical,Apparel Retail,FALSE,FALSE,FALSE
LUV,Southwest Airlines Co,17315,Industrials,Airlines,FALSE,FALSE,FALSE
LVS,Las Vegas Sands Corp,7282,Consumer Cyclical,Resorts & Casinos,FALSE,FALSE,TRUE
LW,Lamb Weston Holdings Inc,2943,Consumer Defensive,Packaged Foods,FALSE,FALSE,FALSE
LYB,LyondellBasell Industries NV,5322,Basic Materials,Specialty Chemicals,FALSE,FALSE,FALSE
LYV,Live Nation Entertainment Inc,6918,Communication Services,Entertainment,FALSE,FALSE,FALSE
MA,Mastercard Inc,6756,Financial Services,Credit Services,FALSE,FALSE,FALSE
MAA,Mid-America Apartment Communities Inc,11256,Real Estate,REIT - Residential,FALSE,FALSE,FALSE
MAR,Marriott International Inc,9734,Consumer Cyclical,Lodging,FALSE,FALSE,TRUE
MAS,Masco Corp,20290,Industrials,Building Products & Equipment,FALSE,FALSE,FALSE
MCD,McDonald's Corp,21325,Consumer Cyclical,Restaurants,FALSE,FALSE,FALSE
MCHP,Microchip Technology Inc,11564,Technology,Semiconductors,FALSE,FALSE,FALSE
MCK,McKesson Corp,13626,Healthcare,Medical Distribution,FALSE,FALSE,FALSE
MCO,Moodys Corp,10410,Financial Services,Financial Data & Stock Exchanges,FALSE,FALSE,FALSE
MDLZ,Mondelez International Inc,8563,Consumer Defensive,Confectioners,FALSE,FALSE,FALSE
MDT,Medtronic PLC,16188,Healthcare,Medical Devices,FALSE,FALSE,FALSE
MET,MetLife Inc,8997,Financial Services,Insurance - Life,FALSE,FALSE,FALSE
META,Meta Platforms Inc,4571,Communication Services,Internet Content & Information,FALSE,FALSE,FALSE
MGM,MGM Resorts International,9872,Consumer Cyclical,Resorts & Casinos,FALSE,FALSE,TRUE
MHK,Mohawk Industries Inc,11923,Consumer Cyclical,"Furnishings, Fixtures & Appliances",FALSE,FALSE,FALSE
MKC,McCormick & Co Inc,13770,Consumer Defensive,Packaged Foods,FALSE,FALSE,FALSE
MKTX,MarketAxess Holdings Inc,7322,Financial Services,Capital Markets,FALSE,FALSE,FALSE
MLM,Martin Marietta Materials Inc,11237,Basic Materials,Building Materials,FALSE,FALSE,FALSE
MMC,Marsh & McLennan Companies Inc,20260,Financial Services,Insurance Brokers,FALSE,FALSE,FALSE
MMM,3M Co,28802,Industrials,Conglomerates,FALSE,FALSE,FALSE
MNST,Monster Beverage Corp,10689,Consumer Defensive,Beverages - Non-Alcoholic,FALSE,FALSE,FALSE
