ticker,pca_score,if_score,ae_score,composite_score_raw,composite_score,annual_return
L,0.0967889997222069,0.5112586609065582,0.3035762576532226,0.4153442796267744,0.2944024857691196,0.0546840583014477
BXP,0.20382739830605745,0.44768008829627726,0.37749518257513837,0.41147933817133997,0.29373122309643085,-0.0252153386015827
AXON,0.02517935341174903,0.5667936723414342,0.2033242665528647,0.40765554975528123,0.2930671078797952,0.3268241292779881
CF,0.2523289297600412,0.4536936325259057,0.2781385126188019,0.3892100800950802,0.2898635004239316,0.05981436133476
DIS,0.1509043809580341,0.5083292376917945,0.2258554770985353,0.3882637972956501,0.2896991501152945,0.0531731476153699
TTWO,0.09981267290561437,0.48793688409669195,0.3636584433405084,0.3754315709196589,0.2874704502312165,0.2248389572284514
AXP,0.2638683526629953,0.4420898152284846,0.2904426376477559,0.3616055008146159,0.285069139660666,0.1298527040573825
INCY,0.22930643270078052,0.45556547508120765,0.29061322944514645,0.36076438319001025,0.28492305442981614,0.1268230021611275
PTC,0.1670605208584064,0.501450107877814,0.21386115911016115,0.3582689458843582,0.2844896471105503,0.17535303273248
PNR,0.19677354983296438,0.47108039703271287,0.27822672348537164,0.35450060101587727,0.28383516132410386,0.0899901461928235
ODFL,0.16437991693532636,0.4974711071765243,0.22601831848856113,0.34588544179993747,0.2823388812723583,0.2395178447913014
CNP,0.10650417219488549,0.5416893836300304,0.1417188405504606,0.3274152363518534,0.2791309777071546,0.0318199882604414
INTC,0.06909640781632524,0.5378629592304898,0.20232278957850536,0.31598553902762694,0.2771458689384057,0.0069108714383994
AEP,0.17384077438252227,0.45514326509078507,0.347974849481653,0.31361186377651423,0.27673360924145307,0.0677652193533606
UAL,0.18759188256131473,0.45964740647156904,0.31144356456858985,0.310689747992634,0.2762260964437533,0.1016646029401558
WST,0.1734115294499702,0.48490039896041964,0.2414674768719239,0.3100413520043422,0.2761134830887827,0.2063172080678857
CHRW,0.18364363348020862,0.49002916362672905,0.20528736228409636,0.3019972453234883,0.2747163833882449,0.0403957403457069
VRTX,0.17632860792242305,0.4960497315762151,0.19334789818611364,0.30019674141586034,0.27440367203694577,0.2012370621686394
TSCO,0.09077943297401939,0.463534267231405,0.4279054341521278,0.29957968566749815,0.2742965018519327,0.148775261013734
TT,0.043919867314396586,0.4866906496105037,0.4094003757594622,0.29535111262603214,0.2735620836791857,0.1912020528481142
NOW,0.10582578628700007,0.4867826566277676,0.31999521570679507,0.2898396511781472,0.27260485356727127,0.291137321143146
NCLH,0.13710522073400974,0.46567478602479273,0.3476895190543127,0.2824705028303871,0.27132498056728,0.0003077951801877
AIZ,0.20954570385281243,0.4423025338698819,0.328978573030577,0.28187301468480574,0.27122120888169887,0.1427302480820936
DLR,0.2792118284571666,0.43011655136216104,0.2743086279767365,0.28086025132104453,0.2710453122348289,0.0795049269083326
FFIV,0.16074231661866795,0.4539996557745192,0.3550122031761313,0.28026993242510956,0.2709427857038599,0.0703290665030012
CFG,0.28591122519939105,0.4471015964070397,0.20363691495295952,0.2784522387044479,0.2706270888274311,0.0588800627338324
V,0.10978530242838626,0.46318531674241303,0.3870900606669991,0.2659028567927088,0.26844751334361067,0.1702713015126352
STT,0.1506803629402775,0.49422104732807326,0.2182101647711079,0.26218246391756356,0.2678013558549091,0.0552049257179354
GS,0.06736886636131943,0.5107636952918344,0.27387972621844753,0.25746164215501977,0.26698144397004553,0.1160904690445758
TJX,0.14670679723744112,0.5021113422650926,0.19339145670710092,0.25694264270979894,0.26689130419464663,0.1395750375306239
HST,0.14455405475380562,0.4717584603132277,0.302116826718002,0.2528928969419177,0.26618794472615176,0.0060177533075526
C,0.04435544605152705,0.5312024084839008,0.23097795690548217,0.25172889080462835,0.2659857802484352,0.0367713953285067
WFC,0.18105038060886455,0.48143907970580674,0.21346229628464572,0.24566704027319627,0.26493295861165533,0.0518276126718809
EL,0.08208678566211243,0.5292258821271109,0.18221875618874306,0.24516936232704323,0.2648465219522324,0.0073905151526504
WBD,0.14283764413781658,0.4734217813391676,0.2945931157994584,0.24413069850205862,0.2646661269156649,-0.4391138586191079
FTV,0.31638339506168645,0.43568486727489797,0.184802593866838,0.24213110650350023,0.2643188379632405,0.0817551766172838
CSX,0.08772395553026885,0.45355770032085696,0.44075762055623946,0.24132881036906156,0.26417949524519396,0.1355739146791103
TXN,0.04934298084962272,0.5452110402343675,0.16821463176750734,0.2383707532660868,0.26366574016253497,0.1562622375183343
CPRT,0.16279977317983577,0.47557353891452847,0.25576945802394524,0.236974067344068,0.26342316388143683,0.2203130351407384
RSG,0.06991100513066241,0.4622185301237609,0.4327714068769879,0.23655837658567286,0.2633509667491621,0.161214470343774
GPN,0.0467746220321713,0.548645591748233,0.15801246009883232,0.2348469345295492,0.2630537236519529,0.1277592143534497
HII,0.20267041163901733,0.4875340010800788,0.15540106726464234,0.2321056849230116,0.26257762367512033,0.1232855112422033
ALB,0.1495821069885214,0.45275249307611826,0.35217570622482613,0.23054564767764485,0.2623066765513686,0.0358547049194777
PG,0.20959147810590897,0.45561960624595593,0.2576204247619616,0.22945887775012905,0.2621179264513855,0.0733251976084879
CHD,0.06503554018280376,0.45997160150864874,0.4422768407344243,0.22508562568676066,0.2613583804395641,0.1138121943297753
GILD,0.17078152191669543,0.4619795169465906,0.286882459262648,0.22412101512739857,0.26119084696728584,0.0735283161830993
MA,0.03909356387778724,0.4580241381474336,0.47673021311744396,0.2061256268950027,0.2580654096119631,0.194416774352418
AVGO,0.02351286527245915,0.4757755390622841,0.43428476761562074,0.20327061297996654,0.2575695510606063,0.3341000791405712
