ticker,ae_recon_error
ANSS,0.19628451874984537
LULU,0.19624451830324355
PFG,0.1961902739699781
LMT,0.19602938991280894
MU,0.19597152335676854
WAT,0.19592003951824255
ISRG,0.1956405459232569
EXR,0.1947511578682766
VRSN,0.19367183249279082
AMCR,0.1933746463657636
D,0.1933260806736833
TMUS,0.19326695140435549
PTC,0.19306198925158435
TEL,0.19063914847131339
PSA,0.18981364067569143
TRGP,0.18923667276627254
WBD,0.18787130763276289
POOL,0.18654881822909247
EMN,0.18523926728233048
TRV,0.18514547862875955
INTC,0.1847528063371423
PARA,0.18373873151213874
TXN,0.18246056186982632
FITB,0.18230947012104567
BF.B,0.18183027874399987
HBAN,0.18171376096748015
UPS,0.18029592890490134
KEY,0.17954284370489326
MKC,0.17944753108569325
ED,0.17906150448935712
